scaffold-Wagouti1	agouti_scaf_1
scaffold-Wagouti2	agouti_scaf_2
scaffold-Wagouti3	agouti_scaf_3
scaffold-Wagouti4	agouti_scaf_4
scaffold-Wagouti5	agouti_scaf_5
scaffold-Wagouti6	agouti_scaf_6
scaffold-Wagouti7	agouti_scaf_7
scaffold-Wagouti8	agouti_scaf_8
scaffold-Wagouti9	agouti_scaf_9
scaffold-Wagouti10	agouti_scaf_10
scaffold-Wagouti11	agouti_scaf_11
scaffold-Wagouti12	agouti_scaf_12
scaffold-Wagouti13	agouti_scaf_13
scaffold-Wagouti14	agouti_scaf_14
scaffold-Wagouti15	agouti_scaf_15
scaffold-Wagouti16	agouti_scaf_16
scaffold-Wagouti17	agouti_scaf_17
scaffold-Wagouti18	agouti_scaf_18
scaffold-Wagouti19	agouti_scaf_19
scaffold-Wagouti20	agouti_scaf_20
scaffold-Wagouti21	agouti_scaf_21
scaffold-Wagouti22	agouti_scaf_22
scaffold-Wagouti23	agouti_scaf_23
scaffold-Wagouti24	agouti_scaf_24
scaffold-Wagouti25	agouti_scaf_25
scaffold-Wagouti26	agouti_scaf_26
scaffold-Wagouti27	agouti_scaf_27
scaffold-Wagouti28	agouti_scaf_28
scaffold-Wagouti29	agouti_scaf_29
scaffold-Wagouti30	agouti_scaf_30
scaffold-Wagouti31	agouti_scaf_31
scaffold-Wagouti32	agouti_scaf_32
scaffold-Wagouti33	agouti_scaf_33
scaffold-Wagouti34	agouti_scaf_34
scaffold-Wagouti35	agouti_scaf_35
scaffold-Wagouti36	agouti_scaf_36
scaffold-Wagouti37	agouti_scaf_37
scaffold-Wagouti38	agouti_scaf_38
scaffold-Wagouti39	agouti_scaf_39
scaffold-Wagouti40	agouti_scaf_40
scaffold-Wagouti41	agouti_scaf_41
scaffold-Wagouti42	agouti_scaf_42
scaffold-Wagouti43	agouti_scaf_43
scaffold-Wagouti44	agouti_scaf_44
scaffold-Wagouti45	agouti_scaf_45
scaffold-Wagouti46	agouti_scaf_46
scaffold-Wagouti47	agouti_scaf_47
scaffold-Wagouti48	agouti_scaf_48
scaffold-Wagouti49	agouti_scaf_49
scaffold-Wagouti50	agouti_scaf_50
scaffold-Wagouti51	agouti_scaf_51
scaffold-Wagouti52	agouti_scaf_52
scaffold-Wagouti53	agouti_scaf_53
scaffold-Wagouti54	agouti_scaf_54
scaffold-Wagouti55	agouti_scaf_55
scaffold-Wagouti56	agouti_scaf_56
scaffold-Wagouti57	agouti_scaf_57
scaffold-Wagouti58	agouti_scaf_58
scaffold-Wagouti59	agouti_scaf_59
scaffold-Wagouti60	agouti_scaf_60
scaffold-Wagouti61	agouti_scaf_61
scaffold-Wagouti62	agouti_scaf_62
scaffold-Wagouti63	agouti_scaf_63
scaffold-Wagouti64	agouti_scaf_64
scaffold-Wagouti65	agouti_scaf_65
scaffold-Wagouti66	agouti_scaf_66
scaffold-Wagouti67	agouti_scaf_67
scaffold-Wagouti68	agouti_scaf_68
scaffold-Wagouti69	agouti_scaf_69
scaffold-Wagouti70	agouti_scaf_70
scaffold-Wagouti71	agouti_scaf_71
scaffold-Wagouti72	agouti_scaf_72
scaffold-Wagouti73	agouti_scaf_73
scaffold-Wagouti74	agouti_scaf_74
scaffold-Wagouti75	agouti_scaf_75
scaffold-Wagouti76	agouti_scaf_76
scaffold-Wagouti77	agouti_scaf_77
scaffold-Wagouti78	agouti_scaf_78
scaffold-Wagouti79	agouti_scaf_79
scaffold-Wagouti80	agouti_scaf_80
scaffold-Wagouti81	agouti_scaf_81
scaffold-Wagouti82	agouti_scaf_82
scaffold-Wagouti83	agouti_scaf_83
scaffold-Wagouti84	agouti_scaf_84
scaffold-Wagouti85	agouti_scaf_85
scaffold-Wagouti86	agouti_scaf_86
scaffold-Wagouti87	agouti_scaf_87
scaffold-Wagouti88	agouti_scaf_88
scaffold-Wagouti89	agouti_scaf_89
scaffold-Wagouti90	agouti_scaf_90
scaffold-Wagouti91	agouti_scaf_91
scaffold-Wagouti92	agouti_scaf_92
scaffold-Wagouti93	agouti_scaf_93
scaffold-Wagouti94	agouti_scaf_94
scaffold-W48	scaffold-W48
scaffold-W49	scaffold-W49
scaffold-W145532	scaffold-W145532
scaffold-W147273	scaffold-W147273
scaffold-W164865	scaffold-W164865
scaffold-W164983	scaffold-W164983
scaffold-W165792	scaffold-W165792
scaffold-W165998	scaffold-W165998
scaffold-W166105	scaffold-W166105
scaffold-W166507	scaffold-W166507
scaffold-W166597	scaffold-W166597
scaffold-W166959	scaffold-W166959
scaffold-W167821	scaffold-W167821
scaffold-W173295	scaffold-W173295
scaffold-W173377	scaffold-W173377
scaffold-W173444	scaffold-W173444
scaffold-W173465	scaffold-W173465
scaffold-W173466	scaffold-W173466
scaffold-W173717	scaffold-W173717
scaffold-W173800	scaffold-W173800
scaffold-W173832	scaffold-W173832
scaffold-W173884	scaffold-W173884
scaffold-W174030	scaffold-W174030
scaffold-W174053	scaffold-W174053
scaffold-W174116	scaffold-W174116
scaffold-W174198	scaffold-W174198
scaffold-W174270	scaffold-W174270
scaffold-W174293	scaffold-W174293
scaffold-W174304	scaffold-W174304
scaffold-W175209	scaffold-W175209
scaffold-W175720	scaffold-W175720
scaffold-W176205	scaffold-W176205
scaffold-W176339	scaffold-W176339
scaffold-W177345	scaffold-W177345
scaffold-W178106	scaffold-W178106
scaffold-W178855	scaffold-W178855
scaffold-W179865	scaffold-W179865
scaffold-W179873	scaffold-W179873
scaffold-W179880	scaffold-W179880
scaffold-W179890	scaffold-W179890
scaffold-W180686	scaffold-W180686
scaffold-W183765	scaffold-W183765
scaffold-W186101	scaffold-W186101
scaffold-W186124	scaffold-W186124
scaffold-W186165	scaffold-W186165
scaffold-W186218	scaffold-W186218
scaffold-W186309	scaffold-W186309
scaffold-W186447	scaffold-W186447
scaffold-W187254	scaffold-W187254
scaffold-W187323	scaffold-W187323
scaffold-W188070	scaffold-W188070
scaffold-W188246	scaffold-W188246
scaffold-W188782	scaffold-W188782
scaffold-W190336	scaffold-W190336
scaffold-W190438	scaffold-W190438
scaffold-W190874	scaffold-W190874
scaffold-W191164	scaffold-W191164
scaffold-W191442	scaffold-W191442
scaffold-W193322	scaffold-W193322
scaffold-W193616	scaffold-W193616
scaffold-W194251	scaffold-W194251
scaffold-W194744	scaffold-W194744
scaffold-W194871	scaffold-W194871
scaffold-W194886	scaffold-W194886
scaffold-W195837	scaffold-W195837
scaffold-W195922	scaffold-W195922
scaffold-W196594	scaffold-W196594
scaffold-W197774	scaffold-W197774
scaffold-W197841	scaffold-W197841
scaffold-W197910	scaffold-W197910
scaffold-W197942	scaffold-W197942
scaffold-W197945	scaffold-W197945
scaffold-W197988	scaffold-W197988
scaffold-W198136	scaffold-W198136
scaffold-W198138	scaffold-W198138
scaffold-W198575	scaffold-W198575
scaffold-W198723	scaffold-W198723
scaffold-W198743	scaffold-W198743
scaffold-W198845	scaffold-W198845
scaffold-W198893	scaffold-W198893
scaffold-W198938	scaffold-W198938
scaffold-W198995	scaffold-W198995
scaffold-W199021	scaffold-W199021
scaffold-W199040	scaffold-W199040
scaffold-W201552	scaffold-W201552
scaffold-W207139	scaffold-W207139
scaffold-W207421	scaffold-W207421
scaffold-W208471	scaffold-W208471
scaffold-W208599	scaffold-W208599
scaffold-W208636	scaffold-W208636
scaffold-W208773	scaffold-W208773
scaffold-W208775	scaffold-W208775
scaffold-W209227	scaffold-W209227
scaffold-W209246	scaffold-W209246
scaffold-W209251	scaffold-W209251
scaffold-W209279	scaffold-W209279
scaffold-W209282	scaffold-W209282
scaffold-W209291	scaffold-W209291
scaffold-W209322	scaffold-W209322
scaffold-W209329	scaffold-W209329
scaffold-W209338	scaffold-W209338
scaffold-W209349	scaffold-W209349
scaffold-W209357	scaffold-W209357
scaffold-W209358	scaffold-W209358
scaffold-W209364	scaffold-W209364
scaffold-W209376	scaffold-W209376
scaffold-W209426	scaffold-W209426
scaffold-W209441	scaffold-W209441
scaffold-W209450	scaffold-W209450
scaffold-W209551	scaffold-W209551
scaffold-W209616	scaffold-W209616
scaffold-W209646	scaffold-W209646
scaffold-W209653	scaffold-W209653
scaffold-W209663	scaffold-W209663
scaffold-W209665	scaffold-W209665
scaffold-W209667	scaffold-W209667
scaffold-W209700	scaffold-W209700
scaffold-W209709	scaffold-W209709
scaffold-W209715	scaffold-W209715
scaffold-W209797	scaffold-W209797
scaffold-W209805	scaffold-W209805
scaffold-W209857	scaffold-W209857
scaffold-W209859	scaffold-W209859
scaffold-W209863	scaffold-W209863
scaffold-W209882	scaffold-W209882
scaffold-W209914	scaffold-W209914
scaffold-W209924	scaffold-W209924
scaffold-W209955	scaffold-W209955
scaffold-W209957	scaffold-W209957
scaffold-W209986	scaffold-W209986
scaffold-W209992	scaffold-W209992
scaffold-W210009	scaffold-W210009
scaffold-W210013	scaffold-W210013
scaffold-W210031	scaffold-W210031
scaffold-W210033	scaffold-W210033
scaffold-W210053	scaffold-W210053
scaffold-W210083	scaffold-W210083
