"Mean Sequence Quality (Phred Score)"	"PitViper_042019_S2_L004_R1_001"	"PitViper_042019_S2_L004_R2_001"
11		861
12	2	8054
13	99	20791
14	3344	45602
15	49764	126501
16	195398	337928
17	443774	760321
18	732306	1407033
19	1066987	2318772
20	1390151	3337779
21	1812020	4569959
22	2292487	5793903
23	3015681	7305593
24	3971311	8775759
25	5444261	10605808
26	7042992	12328003
27	8986892	14593784
28	10858165	16743189
29	13306183	19797046
30	15972956	23188751
31	19928110	28797770
32	24760190	37346268
33	33588234	48387189
34	49572922	69912633
35	99106688	136232249
36	478140816	388641285
37	81454938	21753840
