pseudohaplotype1_scaffold	length	start	end	strand	chrom	length	start	end	seq_identity
357737	9450	0	9449	+	scaffold-Z	113984505	113974726	113982785	96.2181
339923	5676	0	5675	+	scaffold-Z	113984505	113967386	113973926	95.4177
286143	6696	0	6695	-	scaffold-Z	113984505	113960575	113967353	98.5593
392107	13747	0	9999	-	scaffold-Z	113984505	113936333	113944738	94.2483
386132	12602	0	12601	+	scaffold-Z	113984505	113924214	113936947	97.4276
390764	22948	5000	9999	+	scaffold-Z	113984505	113900093	113905092	93.9682
348149	5769	0	5768	-	scaffold-Z	113984505	113876921	113881956	97.6814
375595	14015	0	14014	-	scaffold-Z	113984505	113861372	113875200	98.3708
393313	14063	0	14062	+	scaffold-Z	113984505	113848863	113862928	95.4563
324225	5005	0	4999	-	scaffold-Z	113984505	113843133	113848132	94.7943
375856	23560	0	23559	-	scaffold-Z	113984505	113818644	113842984	98.2792
410309	11018	0	11017	-	scaffold-Z	113984505	113804638	113815421	99.1632
410307	11701	0	11700	-	scaffold-Z	113984505	113794414	113805153	98.4065
360121	15747	0	15746	+	scaffold-Z	113984505	113780100	113795551	98.0565
334409	6083	0	4999	-	scaffold-Z	113984505	113775731	113780730	94.9317
297899	7920	0	7919	+	scaffold-Z	113984505	113761397	113767843	95.7738
385219	11678	0	11677	-	scaffold-Z	113984505	113749332	113761517	97.3179
346276	6873	0	6872	+	scaffold-Z	113984505	113743585	113750308	94.7627
382984	28801	0	28800	+	scaffold-Z	113984505	113719004	113746784	98.2893
357309	6068	0	4999	+	scaffold-Z	113984505	113716760	113721759	94.9317
336321	8506	0	8505	-	scaffold-Z	113984505	113708617	113718036	97.2843
372081	5266	266	5265	-	scaffold-Z	113984505	113696263	113701262	99.2639
347270	5800	800	5799	-	scaffold-Z	113984505	113690131	113695130	95.4127
384080	33578	0	33577	+	scaffold-Z	113984505	113651579	113686654	98.6935
365588	5867	0	5866	+	scaffold-Z	113984505	113645550	113651542	98.8377
384946	48928	43928	48927	+	scaffold-Z	113984505	113641046	113646045	95.1676
413466	24091	0	24090	-	scaffold-Z	113984505	113569939	113595550	99.2558
361414	5292	0	5291	+	scaffold-Z	113984505	113565286	113570338	100
393474	25915	0	25914	-	scaffold-Z	113984505	113538138	113564678	98.8538
390893	28938	0	28937	+	scaffold-Z	113984505	113508359	113537745	98.9963
361127	5477	0	5476	-	scaffold-Z	113984505	113502343	113507343	97.2068
384789	17016	5000	17015	+	scaffold-Z	113984505	113489247	113501467	98.9635
391656	33183	0	9999	+	scaffold-Z	113984505	113479688	113489337	98.4708
369229	10008	0	10007	+	scaffold-Z	113984505	113467813	113476168	96.0311
361231	7612	0	7611	+	scaffold-Z	113984505	113459736	113467325	99.831
389393	26731	15000	26730	-	scaffold-Z	113984505	113442275	113453434	99.0432
