chrom	start	end	mean.x	mean.y	fmnorm	fpropnorm
112	NC_006088.5	100970000	100980000	23.7	63.89	1.68302435512739	0.762526927872591
127	NC_006088.5	10110000	10120000	20.09	23.86	0.500437753580436	0.585860059605889
329	NC_006088.5	102920000	102930000	18.79	53.04	1.74943698331103	0.770761724687941
525	NC_006088.5	104690000	104700000	0	0.01	Inf	1
529	NC_006088.5	104720000	104730000	5.27	6.72	0.602979545760046	0.602993454083372
530	NC_006088.5	104730000	104740000	0.01	0.38	5.50024878806209	0.97838428529545
531	NC_006088.5	104740000	104750000	4.03	7.57	1.16183473607626	0.691111856685836
630	NC_006088.5	105630000	105640000	20.29	20.69	0.280486054721851	0.548452008178536
729	NC_006088.5	106520000	106530000	6.93	7.45	0.356706347830811	0.561499516654924
892	NC_006088.5	1080000	1090000	17.58	17.79	0.269452714742256	0.546557337007339
900	NC_006088.5	108060000	108070000	19.48	49.26	1.59074422503512	0.750750669259983
906	NC_006088.5	108110000	108120000	14.37	18.22	0.594784171963215	0.601632769421824
909	NC_006088.5	108140000	108150000	5.56	5.63	0.270371313975223	0.546715133286556
1298	NC_006088.5	111640000	111650000	3.73	4.69	0.582733566878639	0.599629147767806
1413	NC_006088.5	112680000	112690000	9.56	13.76	0.777719221339849	0.631596953621993
1414	NC_006088.5	112690000	112700000	10.36	13.28	0.610552418278871	0.604249370243857
1442	NC_006088.5	112940000	112950000	20.35	43.24	1.33965900319954	0.71678728427872
1525	NC_006088.5	113690000	113700000	2.05	2.54	0.56152586188522	0.596094932449668
1566	NC_006088.5	114050000	114060000	12.71	13.49	0.338247592561809	0.558346812116122
1631	NC_006088.5	114640000	114650000	2.96	3.56	0.518601339955948	0.588911417376771
1632	NC_006088.5	114650000	114660000	1.27	4.98	2.22363851991442	0.823654901423643
1639	NC_006088.5	114710000	114720000	5.54	8.15	0.809235357687752	0.636665200261365
1689	NC_006088.5	115160000	115170000	5.91	7.25	0.547144139343265	0.593692541268562
1740	NC_006088.5	115620000	115630000	11.59	12.8	0.395584518499391	0.568123288193642
