chrom	length.x	bases.x	mean.x	min.x	max.x	length.y	bases.y	mean.y	min.y	max.y	fmnorm
100014	1181	19399	16.43	0	33	1181	54193	45.89	0	73	1.12898737202294
102954	1511	14006	9.27	0	30	1511	38675	25.6	0	60	1.11264261182258
110089	1180	290	0.25	0	2	1180	30327	25.7	0	36	6.33083649986726
110134	1034	98	0.09	0	2	1034	32597	31.53	0	49	8.09972449880177
110173	1211	121	0.1	0	6	1211	47743	39.42	0	63	8.26992401171687
111904	1023	2600	2.54	0	23	1023	30371	29.69	0	72	3.19421673677524
11265	1601	11258	7.03	0	43	1601	51309	32.05	0	49	1.83586780799431
113551	1005	700	0.7	0	32	1005	2359	2.35	0	94	1.39437397518078
115136	1049	2223	2.12	0	28	1049	32200	30.7	0	54	3.50324253125509
115881	1110	7441	6.7	0	44	1110	36744	33.1	0	59	1.95173826191019
116162	1017	419	0.41	0	3	1017	40084	39.41	0	132	6.2339340750805
116210	1348	23871	17.71	0	49	1348	61100	45.33	0	113	1.00304199469482
116278	1343	6597	4.91	0	40	1343	45839	34.13	0	65	2.44438553034492
116290	1038	5612	5.41	0	61	1038	29305	28.23	0	74	2.03066867518362
117223	1244	2861	2.3	0	7	1244	30953	24.88	0	47	3.08242076474697
11734	1129	7815	6.92	0	47	1129	52456	46.46	0	115	2.39428525673283
118426	1018	11993	11.78	0	48	1018	34270	33.66	0	96	1.16183568306023
11852	1508	16716	11.08	0	64	1508	66721	44.24	0	117	1.64453354974627
119444	1123	1417	1.26	0	4	1123	26549	23.64	0	37	3.87687444223836
12009	3762	559	0.15	0	6	3762	126300	33.57	0	54	7.45320627164978
120153	1245	8022	6.44	0	21	1245	36207	29.08	0	45	1.82203472136572
120990	1279	239	0.19	0	2	1279	26948	21.07	0	38	6.44018713093447
121303	1131	3305	2.92	0	12	1131	55204	48.81	0	71	3.71027652307441
121862	1172	21402	18.26	0	59	1172	60586	51.69	0	87	1.14833848252263
122136	1145	2180	1.9	0	12	1145	23819	20.8	0	46	3.09965225025825
122267	1044	2051	1.96	0	15	1044	27381	26.23	0	49	3.38943229371052
122532	1148	4291	3.74	0	24	1148	33906	29.53	0	50	2.62821122680706
123006	1156	260	0.22	0	4	1156	14582	12.61	0	22	5.48806098725167
123038	1101	13602	12.35	0	47	1101	46706	42.42	0	59	1.42737362461926
123390	1175	7979	6.79	0	44	1175	47577	40.49	0	98	2.22322220899247
123527	1117	1596	1.43	0	7	1117	34389	30.79	0	49	4.07551486082717
123564	1303	7482	5.74	0	34	1303	38917	29.87	0	52	2.02671464119585
123579	1034	12762	12.34	0	44	1034	33521	32.42	0	76	1.04068174192887
