z.chrom.position	copy.number	feature	gene
2476541	0.860075984	augustus_masked-scaffold-W225864-processed-gene-0.0	GARS
6652235	0.908796638	maker-scaffold-W289984-augustus-gene-0.0	RBM33
9429493	0.853688382	maker-scaffold-Wagouti91-augustus-gene-0.1	LARP4B
13072015	1.151587229	maker-scaffold-W187323-augustus-gene-0.0	CUL2
14838677	0.949911447	maker-scaffold-W236610-augustus-gene-0.1	EPC1
15120182	0.984607421	augustus_masked-scaffold-W328303-processed-gene-0.0	ZEB1
16279701	0.994536488	maker-scaffold-W328908-augustus-gene-0.1	WAC
18211983	1.184327646	augustus_masked-scaffold-W279443-processed-gene-0.0	TMBIM7P
20364506	1.055969222	maker-scaffold-Wagouti65-augustus-gene-0.1	NMT2
24004966	0.81877373	augustus_masked-scaffold-W214186-processed-gene-0.0	BMI1
24384785	0.921976992	maker-scaffold-W214303-augustus-gene-0.1	PTF1A
27718821	1.081442604	maker-scaffold-W335230-augustus-gene-0.1	UMAD1
33937051	1.014213852	augustus_masked-scaffold-W213628-processed-gene-0.0	SP4
33953392	0.929938202	maker-scaffold-W284381-augustus-gene-0.1	SP4
36544550	0.705265603	augustus_masked-scaffold-W339681-processed-gene-0.0	HOXA1
36550838	0.747443658	augustus_masked-scaffold-W339681-processed-gene-0.1	HOXA2
36597885	1.07201481	augustus_masked-scaffold-W246906-processed-gene-0.0	HOXA6
36617150	1.066121575	augustus_masked-scaffold-W332733-processed-gene-0.1	HOXA9
38445412	0.956402604	maker-scaffold-W275390-augustus-gene-0.1	DAZL
40973743	1.631179283	augustus_masked-scaffold-W209805-processed-gene-0.1	NA
40974268	9.37754983	augustus_masked-scaffold-W286914-processed-gene-0.0	MLV
45446651	0.88534325	maker-scaffold-Wagouti32-augustus-gene-0.0	STT3B
46642535	1.0597044	augustus_masked-scaffold-W211637-processed-gene-0.0	SNRK
48075357	1.612211474	maker-scaffold-W291146-augustus-gene-0.1	LOC106551782
48228093	1.67467241	maker-scaffold-W296732-augustus-gene-0.1	TMEM108
48423830	1.143077829	augustus_masked-scaffold-W405142-processed-gene-0.0	CCR5
49525535	1.764165534	maker-scaffold-W369195-augustus-gene-0.1	CTNNB1
74103894	1.012946671	maker-scaffold-W342219-augustus-gene-0.1	PSMB3
74113048	1.055611174	augustus_masked-scaffold-W245583-processed-gene-0.0	PIP4K2B
76177000	0.898549193	maker-scaffold-W199021-augustus-gene-0.0	CYP2C5
76427468	2.555042852	maker-scaffold-W377123-augustus-gene-0.1	ANKRD17
77979781	1.102354291	augustus_masked-scaffold-W245241-processed-gene-0.0	GPATCH8
78127648	1.202713829	augustus_masked-scaffold-W290328-processed-gene-0.1	FAM171A2
79118366	0.989777296	augustus_masked-scaffold-W327146-processed-gene-0.0	PSMD11
79712309	1.007005292	maker-scaffold-W350165-augustus-gene-0.1	TLK2
80659852	0.971794984	maker-scaffold-Wagouti18-augustus-gene-0.2	UBTF
81511122	0.975095539	maker-scaffold-W326727-augustus-gene-0.1	FBXL20
81609785	0.796720921	maker-scaffold-Wagouti35-augustus-gene-0.1	CDK12
