scaffold	length	repeat_length	prop_repeat	mdg4_length	prop_mdg4
scaffold-Wagouti1	22460	19028	0.847195013357	1991	0.0886464826358
scaffold-Wagouti2	23524	17251	0.733336167318	0	0.0
scaffold-Wagouti3	31344	21409	0.683033435426	2058	0.0656584992343
scaffold-Wagouti4	17264	11706	0.678058387396	0	0.0
scaffold-Wagouti5	29634	27498	0.927920631707	4423	0.149254235
scaffold-Wagouti6	21805	15847	0.72675991745	673	0.0308644806237
scaffold-Wagouti7	22503	16356	0.72683642181	0	0.0
scaffold-Wagouti8	55121	51705	0.938027249143	3101	0.0562580504708
scaffold-Wagouti9	20461	11018	0.538487854944	0	0.0
scaffold-Wagouti10	20113	16395	0.815144433948	3896	0.193705563566
scaffold-Wagouti11	31636	24103	0.761885194083	1127	0.0356239726893
scaffold-Wagouti12	15325	10353	0.675562805873	0	0.0
scaffold-Wagouti13	27517	24472	0.889341134571	2251	0.0818039757241
scaffold-Wagouti14	24397	15287	0.626593433619	1293	0.0529983194655
scaffold-Wagouti15	15841	11682	0.737453443596	0	0.0
scaffold-Wagouti16	42053	32156	0.764654126935	3911	0.0930016883457
scaffold-Wagouti17	39099	30347	0.776157958004	3636	0.092994705747
scaffold-Wagouti18	98312	74074	0.753458377411	8765	0.089154935308
scaffold-Wagouti19	15032	12854	0.855109100585	475	0.0315992549228
scaffold-Wagouti20	50941	48727	0.956537955674	5055	0.099232445378
scaffold-Wagouti21	28835	24382	0.845569620253	7396	0.256493844286
scaffold-Wagouti22	14737	10535	0.714867340707	0	0.0
scaffold-Wagouti23	26671	20107	0.753889992876	1775	0.0665516853511
scaffold-Wagouti24	23157	18201	0.785982640238	2154	0.0930172302112
scaffold-Wagouti25	14902	14518	0.974231646759	3239	0.217353375386
scaffold-Wagouti26	24386	21708	0.890182891823	3266	0.133929303699
scaffold-Wagouti27	15772	15561	0.986621861527	946	0.05997971088
scaffold-Wagouti28	32791	22462	0.685005031869	0	0.0
scaffold-Wagouti29	49908	34452	0.690310170714	3516	0.0704496273143
scaffold-Wagouti30	20347	10737	0.527694500418	0	0.0
scaffold-Wagouti31	153158	127750	0.834105955941	10577	0.0690594027083
scaffold-Wagouti32	34553	29793	0.862240615865	4515	0.130668827598
scaffold-Wagouti33	20124	11361	0.564549791294	221	0.0109819121447
scaffold-Wagouti34	47770	31968	0.66920661503	4458	0.0933221687251
scaffold-Wagouti35	25233	11006	0.436174850394	0	0.0
scaffold-Wagouti36	45534	37357	0.820419906004	4453	0.0977950542452
scaffold-Wagouti37	49901	42816	0.858018877377	5267	0.105548986994
scaffold-Wagouti38	13611	8629	0.633972522225	0	0.0
scaffold-Wagouti39	26537	18305	0.689791611712	104	0.0039190564118
scaffold-Wagouti40	15933	15185	0.953053411159	2294	0.143977907488
scaffold-Wagouti41	26118	22046	0.844092196952	2672	0.102304923807
scaffold-Wagouti42	24766	14718	0.594282484051	451	0.0182104498102
scaffold-Wagouti43	19562	16426	0.839689193334	2585	0.132143952561
scaffold-Wagouti44	20612	17970	0.871822239472	1339	0.0649621579662
scaffold-Wagouti45	28767	21778	0.757048006396	1372	0.0476935377342
scaffold-Wagouti46	16338	14506	0.887868772188	3692	0.225976251683
scaffold-Wagouti47	18689	15313	0.819358981219	0	0.0
scaffold-Wagouti48	47707	32619	0.683736139351	2309	0.0483996059279
