chrom	start	end	mean.x	mean.y	fmnorm
112	NC_006088.5	100970000	100980000	23.7	63.89	1.68302435512739
329	NC_006088.5	102920000	102930000	18.79	53.04	1.74943698331103
525	NC_006088.5	104690000	104700000	0	0.01	Inf
530	NC_006088.5	104730000	104740000	0.01	0.38	5.50024878806209
531	NC_006088.5	104740000	104750000	4.03	7.57	1.16183473607626
900	NC_006088.5	108060000	108070000	19.48	49.26	1.59074422503512
1442	NC_006088.5	112940000	112950000	20.35	43.24	1.33965900319954
1632	NC_006088.5	114650000	114660000	1.27	4.98	2.22363851991442
1772	NC_006088.5	115910000	115920000	0.01	0.21	4.64463869739726
7121	NC_006088.5	164050000	164060000	22.04	37.46	1.01754795029039
7914	NC_006088.5	171190000	171200000	1.74	5.92	2.01883114439872
8017	NC_006088.5	172110000	172120000	17.37	78.93	2.43629726979515
8149	NC_006088.5	173300000	173310000	0.79	3.47	2.38733237901966
8150	NC_006088.5	173310000	173320000	1.92	4.34	1.42891000634182
8151	NC_006088.5	173320000	173330000	0.41	0.79	1.19855001817752
8891	NC_006088.5	180000	190000	10.59	17.79	1.00068519589332
10002	NC_006088.5	190000	200000	10.29	17.77	1.04052197375321
10456	NC_006088.5	194070000	194080000	19.55	33.97	1.04941388530299
10457	NC_006088.5	194080000	194090000	0.08	27.35	8.66964639229842
10458	NC_006088.5	194090000	194100000	0.03	39.78	10.6251863347311
10460	NC_006088.5	194100000	194110000	0.06	22.44	8.79921573450614
10461	NC_006088.5	194110000	194120000	0	7.1	Inf
10462	NC_006088.5	194120000	194130000	0.01	12.8	10.5742493695059
10463	NC_006088.5	194130000	194140000	0	5.96	Inf
10464	NC_006088.5	194140000	194150000	3.85	7.97	1.30204255302671
10474	NC_006088.5	194230000	194240000	24.02	41.91	1.05537964504349
10783	NC_006088.5	197010000	197020000	3.25	6	1.13684405719856
11005	NC_006088.5	21160000	21170000	19.97	34.23	1.02974823418437
11430	NC_006088.5	250000	260000	11.16	23.63	1.33460387676316
12140	NC_006088.5	31380000	31390000	25.4	123.64	2.5355664318172
12366	NC_006088.5	33410000	33420000	20.42	116.72	2.76731829165859
15558	NC_006088.5	62140000	62150000	4.71	12.72	1.68562098029007
17109	NC_006088.5	76100000	76110000	0.02	0.09	2.42224627606081
17129	NC_006088.5	76290000	76300000	2.13	4.05	1.17938975216465
17989	NC_006088.5	84020000	84030000	4.7	8.25	1.06405463718668
17998	NC_006088.5	84100000	84110000	1.5	13.43	3.41474617355006
17999	NC_006088.5	84110000	84120000	0.06	35.43	9.45811452401566
18000	NC_006088.5	84120000	84130000	0.07	26.46	8.81456369883957
18001	NC_006088.5	84130000	84140000	0.07	15.74	8.06518617806838
18002	NC_006088.5	84140000	84150000	0	2.82	Inf
18003	NC_006088.5	84150000	84160000	0.03	3.01	6.90097845065705
18015	NC_006088.5	84260000	84270000	17.28	33.64	1.21339576271018
18503	NC_006088.5	88660000	88670000	1.93	4.76	1.55468200065836
18761	NC_006088.5	90980000	90990000	13.89	24.52	1.07223365432789
28884	NC_006089.5	47360000	47370000	24.48	78.99	1.94238773869307
29083	NC_006089.5	49150000	49160000	21.33	46.26	1.36920257491412
29955	NC_006089.5	5700000	5710000	20.42	51.8	1.59529050631461
30858	NC_006089.5	65120000	65130000	10.82	144.46	3.99121894583284
31918	NC_006089.5	74670000	74680000	23.12	46.62	1.26412888124669
33228	NC_006089.5	86460000	86470000	19.68	50.31	1.60643624356476
34805	NC_006090.5	100630000	100640000	23.21	67.16	1.78517698221105
34808	NC_006090.5	100660000	100670000	21.99	49.03	1.40913843204922
35307	NC_006090.5	105150000	105160000	0.75	12.34	4.29262926327204
35308	NC_006090.5	105160000	105170000	0.07	36.61	9.28298841086544
37596	NC_006090.5	26000000	26010000	5.48	11.94	1.37587631292278
42833	NC_006090.5	73140000	73150000	5.43	12.16	1.41544040025772
42859	NC_006090.5	73380000	73390000	20.34	37.03	1.11669614493263
47261	NC_006091.5	230000	240000	16.66	48.98	1.80812564781693
49395	NC_006091.5	4220000	4230000	15.24	41.9	1.71140861571189
51135	NC_006091.5	57870000	57880000	18.91	33.92	1.09530808123194
54244	NC_006091.5	85850000	85860000	4.16	7.02	1.00720877678197
55740	NC_006092.5	17110000	17120000	1.11	1.9	1.02776101659934
60964	NC_006093.5	1030000	1040000	2.38	4.25	1.08882254233562
62135	NC_006093.5	20840000	20850000	1.18	2.13	1.1043878454825
62142	NC_006093.5	20900000	20910000	2.03	4.63	1.44185374069356
62143	NC_006093.5	20910000	20920000	0.81	1.6	1.23439936662124
