chrom	start	ZW_gametologs	dnds	dn	ds
scaffold-Z	100149893	scaffold-Z_100149893_maker-scaffold-W225852-augustus-gene-0.1-mRNA-1_maker-scaffold-Z-augustus-gene-334.9-mRNA-1	0.4482	0.0314	0.0700
scaffold-Z	100400887	scaffold-Z_100400887_maker-scaffold-W207139-augustus-gene-0.1-mRNA-1_maker-scaffold-Z-augustus-gene-334.14-mRNA-1	0.5282	0.0316	0.0597
scaffold-Z	100797148	scaffold-Z_100797148_augustus_masked-scaffold-W276738-processed-gene-0.0-mRNA-1_maker-scaffold-Z-augustus-gene-336.15-mRNA-1	0.9028	0.0665	0.0736
scaffold-Z	100982867	scaffold-Z_100982867_augustus_masked-scaffold-Wagouti33-processed-gene-0.0-mRNA-1_maker-scaffold-Z-augustus-gene-336.21-mRNA-1	0.0706	0.0083	0.1170
scaffold-Z	101055049	scaffold-Z_101055049_augustus_masked-scaffold-W229965-processed-gene-0.0-mRNA-1_maker-scaffold-Z-augustus-gene-336.23-mRNA-1	0.2731	0.0120	0.0438
scaffold-Z	101342258	scaffold-Z_101342258_maker-scaffold-W233879-augustus-gene-0.1-mRNA-1_maker-scaffold-Z-augustus-gene-337.16-mRNA-1	0.1449	0.0151	0.1039
scaffold-Z	101438445	scaffold-Z_101438445_augustus_masked-scaffold-W215996-processed-gene-0.0-mRNA-1_maker-scaffold-Z-augustus-gene-338.10-mRNA-1	0.8230	0.2608	0.3168
scaffold-Z	101478377	scaffold-Z_101478377_maker-scaffold-W328357-augustus-gene-0.2-mRNA-1_augustus_masked-scaffold-Z-processed-gene-338.5-mRNA-1	0.2470	0.0246	0.0996
scaffold-Z	102286382	scaffold-Z_102286382_augustus_masked-scaffold-W313163-processed-gene-0.0-mRNA-1_maker-scaffold-Z-augustus-gene-341.8-mRNA-1	0.2565	0.0181	0.0705
scaffold-Z	102356675	scaffold-Z_102356675_maker-scaffold-W239731-augustus-gene-0.2-mRNA-1_augustus_masked-scaffold-Z-processed-gene-341.2-mRNA-1	0.8433	0.0348	0.0413
scaffold-Z	102450425	scaffold-Z_102450425_augustus_masked-scaffold-W290532-processed-gene-0.0-mRNA-1_maker-scaffold-Z-augustus-gene-341.12-mRNA-1	1.0300	0.3312	0.3216
scaffold-Z	102507380	scaffold-Z_102507380_maker-scaffold-Wagouti53-augustus-gene-0.1-mRNA-1_maker-scaffold-Z-augustus-gene-341.13-mRNA-1	0.7456	0.2448	0.3284
scaffold-Z	102645603	scaffold-Z_102645603_maker-scaffold-W347648-augustus-gene-0.0-mRNA-1_augustus_masked-scaffold-Z-processed-gene-342.3-mRNA-1	0.2814	0.0401	0.1426
scaffold-Z	102988692	scaffold-Z_102988692_maker-scaffold-W292571-augustus-gene-0.0-mRNA-1_maker-scaffold-Z-augustus-gene-343.11-mRNA-1	0.5708	0.1053	0.1844
scaffold-Z	103238334	scaffold-Z_103238334_maker-scaffold-W314154-augustus-gene-0.1-mRNA-1_maker-scaffold-Z-augustus-gene-344.10-mRNA-1	0.4614	0.0190	0.0413
scaffold-Z	103245655	scaffold-Z_103245655_augustus_masked-scaffold-W229997-processed-gene-0.0-mRNA-1_maker-scaffold-Z-augustus-gene-344.11-mRNA-1	0.3488	0.1153	0.3305
scaffold-Z	103277956	scaffold-Z_103277956_maker-scaffold-W283781-augustus-gene-0.1-mRNA-1_augustus_masked-scaffold-Z-processed-gene-344.7-mRNA-1	0.2247	0.0148	0.0657
scaffold-Z	103359411	scaffold-Z_103359411_augustus_masked-scaffold-Wagouti9-processed-gene-0.0-mRNA-1_maker-scaffold-Z-augustus-gene-344.17-mRNA-1	NA	NA	NA
scaffold-Z	103482560	scaffold-Z_103482560_augustus_masked-scaffold-Wagouti22-processed-gene-0.1-mRNA-1_maker-scaffold-Z-augustus-gene-345.6-mRNA-1	0.0010	0.0001	0.1309
scaffold-Z	103538585	scaffold-Z_103538585_augustus_masked-scaffold-W278382-processed-gene-0.0-mRNA-1_maker-scaffold-Z-augustus-gene-345.7-mRNA-1	0.0159	0.0027	0.1730
scaffold-Z	103736700	scaffold-Z_103736700_maker-scaffold-W211154-augustus-gene-0.1-mRNA-1_maker-scaffold-Z-augustus-gene-345.12-mRNA-1	NA	NA	NA
scaffold-Z	104144386	scaffold-Z_104144386_maker-scaffold-W309302-augustus-gene-0.1-mRNA-1_maker-scaffold-Z-augustus-gene-347.18-mRNA-1	0.5169	0.0564	0.1092
scaffold-Z	104158398	scaffold-Z_104158398_maker-scaffold-Wagouti12-augustus-gene-0.1-mRNA-1_maker-scaffold-Z-augustus-gene-347.11-mRNA-1	0.8493	0.1232	0.1451
scaffold-Z	104174068	scaffold-Z_104174068_maker-scaffold-W285225-augustus-gene-0.1-mRNA-1_maker-scaffold-Z-augustus-gene-347.12-mRNA-1	0.6939	0.0645	0.0930
scaffold-Z	104290908	scaffold-Z_104290908_maker-scaffold-W207421-augustus-gene-0.1-mRNA-1_maker-scaffold-Z-augustus-gene-347.15-mRNA-1	0.1382	0.0101	0.0729
scaffold-Z	104335372	scaffold-Z_104335372_maker-scaffold-Wagouti90-augustus-gene-0.1-mRNA-1_maker-scaffold-Z-augustus-gene-347.16-mRNA-1	0.7859	0.1320	0.1680
scaffold-Z	104360810	scaffold-Z_104360810_augustus_masked-scaffold-W225900-processed-gene-0.0-mRNA-1_maker-scaffold-Z-augustus-gene-347.21-mRNA-1	0.6930	0.1619	0.2336
scaffold-Z	104548230	scaffold-Z_104548230_maker-scaffold-W210503-augustus-gene-0.0-mRNA-1_maker-scaffold-Z-augustus-gene-348.12-mRNA-1	NA	NA	NA
scaffold-Z	104686082	scaffold-Z_104686082_maker-scaffold-W345695-augustus-gene-0.0-mRNA-1_augustus_masked-scaffold-Z-processed-gene-349.1-mRNA-1	1.0328	0.2163	0.2095
scaffold-Z	104763789	scaffold-Z_104763789_maker-scaffold-W278386-augustus-gene-0.0-mRNA-1_maker-scaffold-Z-augustus-gene-349.16-mRNA-1	0.7490	0.3434	0.4585
scaffold-Z	104936777	scaffold-Z_104936777_maker-scaffold-W327885-augustus-gene-0.0-mRNA-1_maker-scaffold-Z-augustus-gene-349.20-mRNA-1	0.8488	0.0921	0.1085
scaffold-Z	104952866	scaffold-Z_104952866_augustus_masked-scaffold-W286112-processed-gene-0.1-mRNA-1_augustus_masked-scaffold-Z-processed-gene-350.1-mRNA-1	0.0827	0.0099	0.1201
scaffold-Z	105074770	scaffold-Z_105074770_augustus_masked-scaffold-W246072-processed-gene-0.0-mRNA-1_maker-scaffold-Z-augustus-gene-350.18-mRNA-1	0.4521	0.1434	0.3171
scaffold-Z	105112978	scaffold-Z_105112978_augustus_masked-scaffold-W311918-processed-gene-0.0-mRNA-1_maker-scaffold-Z-augustus-gene-350.19-mRNA-1	0.7919	0.2322	0.2932
scaffold-Z	105206563	scaffold-Z_105206563_augustus_masked-scaffold-W236876-processed-gene-0.1-mRNA-1_augustus_masked-scaffold-Z-processed-gene-350.11-mRNA-1	0.8135	0.0305	0.0375
scaffold-Z	105235849	scaffold-Z_105235849_augustus_masked-scaffold-W353738-processed-gene-0.1-mRNA-1_augustus_masked-scaffold-Z-processed-gene-351.2-mRNA-1	0.4539	0.0469	0.1034
