chrom	length.x	bases.x	mean.x	min.x	max.x	length.y	bases.y	mean.y	min.y	max.y	fmnorm
49	23251	1202649	51.72	0	280	23251	4805922	206.7	0	561	1.645884254
239	9881	346380	35.06	0	217	9881	894658	90.54	0	445	1.015869356
145532	7124	14375	2.02	0	49	7124	261121	36.65	0	92	3.828526046
147273	6271	14411	2.3	0	41	6271	200189	31.92	0	65	3.441894931
163131	5259	8842	1.68	0	56	5259	176510	33.56	0	138	3.967349623
164865	5621	39268	6.99	0	84	5621	230956	41.09	0	137	2.202563015
164983	5874	44168	7.52	0	64	5874	229987	39.15	0	105	2.027347786
165792	8333	31804	3.82	0	97	8333	372372	44.69	0	103	3.195447547
165998	5271	33893	6.43	0	85	5271	181911	34.51	0	107	2.071263877
166105	6159	59110	9.6	0	35	6159	186147	30.22	0	79	1.301537395
166507	5231	5170	0.99	0	33	5231	177231	33.88	0	65	4.744001585
166597	6642	68038	10.24	0	253	6642	293200	44.14	0	385	1.75501096
166959	6112	19497	3.19	0	44	6112	240282	39.31	0	87	3.27040808
167821	5349	36469	6.82	0	94	5349	172771	32.3	0	93	1.890830566
173295	6538	23822	3.64	0	76	6538	227013	34.72	0	120	2.900896638
173377	10547	162445	15.4	0	246	10547	523214	49.61	0	354	1.334840652
173444	9008	14422	1.6	0	41	9008	303905	33.74	0	128	4.045456209
173465	9750	5656	0.58	0	32	9750	315280	32.34	0	87	5.448263014
173466	7735	67095	8.67	0	118	7735	349933	45.24	0	138	2.030635076
173717	8590	57334	6.67	0	93	8590	337958	39.34	0	153	2.207378337
173800	5236	9212	1.76	0	46	5236	188147	35.93	0	89	3.998681647
173832	5646	84991	15.05	0	99	5646	244578	43.32	0	128	1.172409802
173884	7546	24600	3.26	0	61	7546	257099	34.07	0	84	3.032698123
174030	6781	21839	3.22	0	97	6781	205688	30.33	0	135	2.88275295
174053	6142	12116	1.97	0	57	6142	193713	31.54	0	60	3.648055171
174116	5461	8918	1.63	0	27	5461	186800	34.21	0	62	4.03861428
174198	5707	121598	21.31	0	170	5707	395111	69.23	0	371	1.347006801
174270	11022	23942	2.17	0	35	11022	387589	35.17	0	137	3.665718433
174293	5648	14613	2.59	0	46	5648	194904	34.51	0	106	3.383130516
174304	6598	17883	2.71	0	33	6598	229516	34.79	0	84	3.329447968
174313	5739	71940	12.54	0	134	5739	257680	44.9	0	255	1.487318142
175209	6644	11318	1.7	0	14	6644	264133	39.76	0	116	4.194851151
175720	6116	120405	19.69	0	307	6116	344995	56.41	0	431	1.165627871
176205	5211	35801	6.87	0	87	5211	230245	44.18	0	124	2.33215146
176339	5494	32017	5.83	0	49	5494	223319	40.65	0	106	2.448827609
177345	5867	9952	1.7	0	32	5867	193259	32.94	0	87	3.923373949
178106	6210	31249	5.03	0	73	6210	240740	38.77	0	152	2.593450476
178855	11575	40845	3.53	0	115	11575	415832	35.93	0	156	2.994588892
179753	8929	29868	3.35	0	70	8929	291567	32.65	0	116	2.931990037
179865	5704	12234	2.14	0	40	5704	203459	35.67	0	78	3.70616856
179873	5113	33602	6.57	0	63	5113	344927	67.46	0	199	3.007207088
179880	5033	48928	9.72	0	192	5033	257932	51.25	0	268	2.045663831
179890	5150	44511	8.64	0	66	5150	233817	45.4	0	131	2.040729126
180686	5075	26312	5.18	0	34	5075	182692	36	0	105	2.444112949
183765	5624	4198	0.75	0	21	5624	237578	42.24	0	108	5.462715474
186101	5496	16909	3.08	0	39	5496	333330	60.65	0	906	3.946645435
186124	8801	11599	1.32	0	24	8801	317137	36.03	0	64	4.417728863
186165	6959	17691	2.54	0	59	6959	256361	36.84	0	178	3.505512705
186218	7561	31830	4.21	0	74	7561	264494	34.98	0	134	2.701778196
186309	7747	63896	8.25	0	82	7747	323700	41.78	0	132	1.987486513
186398	7463	143641	19.25	0	236	7463	434501	58.22	0	333	1.243796439
186447	5747	74755	13.01	0	149	5747	280158	48.75	0	225	1.552921302
187254	5574	90507	16.24	0	265	5574	285461	51.21	0	376	1.304013972
187323	7613	73457	9.65	0	174	7613	326943	42.95	0	323	1.801197329
188070	8841	85499	9.67	0	79	8841	433568	49.04	0	187	1.98951123
188246	5604	36478	6.51	0	114	5604	202441	36.12	0	172	2.11920849
188782	5335	25375	4.76	0	44	5335	177258	33.23	0	71	2.45059286
190336	7542	44222	5.86	0	129	7542	315679	41.86	0	247	2.483739787
190438	5361	25151	4.69	0	72	5361	195858	36.53	0	130	2.608561971
190874	5060	27236	5.38	0	78	5060	198157	39.16	0	210	2.510842733
191162	5270	15276	2.9	0	27	5270	212254	40.28	0	115	3.443078924
191164	11640	27263	2.34	0	54	11640	400618	34.42	0	169	3.525806708
191442	5039	52646	10.45	0	189	5039	199741	39.64	0	223	1.570594066
193322	6727	45332	6.74	0	101	6727	296985	44.15	0	140	2.358732987
193616	7830	31383	4.01	0	69	7830	253121	32.33	0	105	2.658339411
194251	10393	26950	2.59	0	66	10393	352169	33.89	0	115	3.356975679
194744	6931	10373	1.5	0	20	6931	268920	38.8	0	92	4.340162292
194871	6801	5692	0.84	0	12	6801	231799	34.08	0	70	4.989532243
194886	6303	8332	1.32	0	21	6303	213316	33.84	0	69	4.327259779
195837	8246	20876	2.53	0	41	8246	277465	33.65	0	64	3.38053726
195922	14950	46786	3.13	0	71	14950	588766	39.38	0	91	3.300368595
196247	9093	21860	2.4	0	78	9093	294963	32.44	0	91	3.403807554
196476	5796	3953	0.68	0	12	5796	173772	29.98	0	60	5.109461872
196594	5635	16978	3.01	0	85	5635	213433	37.88	0	129	3.300740984
197774	6901	6210	0.9	0	17	6901	223980	32.46	0	67	4.819734234
197841	6195	11531	1.86	0	53	6195	225823	36.45	0	166	3.939684334
197910	5108	47758	9.35	0	72	5108	204285	39.99	0	90	1.743741057
197942	5181	48320	9.33	0	117	5181	222580	42.96	0	157	1.850185053
197945	11892	63729	5.36	0	145	11892	490080	41.21	0	268	2.589829603
197988	7104	105959	14.92	0	82	7104	275351	38.76	0	151	1.024461081
198136	5079	52220	10.28	0	62	5079	226559	44.61	0	113	1.764666929
198138	7830	12149	1.55	0	41	7830	266235	34	0	105	4.102334671
198575	5505	19565	3.55	0	23	5505	208528	37.88	0	93	3.062685447
198723	5044	6677	1.32	0	32	5044	190398	37.75	0	89	4.485006855
198743	6235	15958	2.56	0	29	6235	230174	36.92	0	102	3.497326883
198845	8621	49778	5.77	0	119	8621	272522	31.61	0	76	2.100877857
198893	13262	15491	1.17	0	26	13262	415565	31.34	0	81	4.39056479
198938	6138	16067	2.62	0	56	6138	211745	34.5	0	68	3.366097691
198995	7424	5399	0.73	0	65	7424	253233	34.11	0	145	5.193294526
199021	15900	39145	2.46	0	93	15900	529110	33.28	0	135	3.405065258
199040	12269	73545	5.99	0	97	12269	546462	44.54	0	171	2.541613696
201552	9738	44052	4.52	0	121	9738	336423	34.55	0	106	2.581431078
207139	6809	16118	2.37	0	43	6809	228806	33.6	0	100	3.472642314
207421	7864	20544	2.61	0	95	7864	244888	31.14	0	184	3.223787278
208420	12393	67231	5.42	0	110	12393	453551	36.6	0	143	2.402618937
208470	14941	98291	6.58	0	107	14941	620259	41.51	0	224	2.304439488
208471	6697	14393	2.15	0	63	6697	269928	40.31	0	129	3.875869264
208599	5828	41042	7.04	0	65	5828	201536	34.58	0	99	1.943430581
208636	7471	1312	0.18	0	9	7471	263090	35.21	0	66	7.258984556
208773	8257	66244	8.02	0	63	8257	303574	36.77	0	151	1.84399508
208775	7496	130894	17.46	0	183	7496	432724	57.73	0	279	1.372407712
209227	5191	75371	14.52	0	219	5191	268868	51.8	0	351	1.48205069
209246	5559	14472	2.6	0	38	5559	192357	34.6	0	117	3.381328555
209251	6252	51953	8.31	0	53	6252	240493	38.47	0	122	1.857953493
209279	7899	20410	2.58	0	51	7899	257701	32.62	0	95	3.307453857
209282	6543	113117	17.29	0	330	6543	351466	53.72	0	509	1.282661481
