female-biased_chrom	length.x	bases.x	mean.x	min.x	max.x	length.y	bases.y	mean.y	min.y	max.y	fmnorm
48	13529	422024	31.19	0	149	13529	1137558	84.08	0	278	1.077819162
49	23228	1076855	46.36	0	221	23228	4431856	190.8	0	399	1.688248745
145532	7124	14478	2.03	0	49	7124	261429	36.7	0	94	3.823368476
147273	6271	14717	2.35	0	43	6271	200184	31.92	0	65	3.410868035
163131	5259	9193	1.75	0	60	5259	175726	33.41	0	133	3.901993201
164865	5621	37992	6.76	0	78	5621	230767	41.05	0	138	2.249427116
164983	5874	44567	7.59	0	67	5874	229866	39.13	0	107	2.013243365
165792	8333	33183	3.98	0	103	8333	372297	44.68	0	105	3.135928896
165998	5271	36032	6.84	0	97	5271	185989	35.29	0	137	2.014331245
166105	6159	59031	9.58	0	35	6159	185685	30.15	0	79	1.301200487
166507	5231	5170	0.99	0	33	5231	177269	33.89	0	65	4.744427347
166597	6642	69304	10.43	0	260	6642	290337	43.71	0	388	1.714364266
166959	6112	19709	3.22	0	44	6112	239963	39.26	0	87	3.255067625
167821	5349	36352	6.8	0	94	5349	172689	32.28	0	93	1.894173973
173295	6538	23755	3.63	0	77	6538	226967	34.72	0	120	2.90486554
173377	10547	162600	15.42	0	246	10547	524392	49.72	0	355	1.336163577
173444	9008	14521	1.61	0	42	9008	304037	33.75	0	129	4.036894954
173465	9750	5694	0.58	0	32	9750	315111	32.32	0	87	5.447370533
173466	7735	67276	8.7	0	118	7735	349597	45.2	0	138	2.024375512
173717	8590	57056	6.64	0	91	8590	338935	39.46	0	155	2.218275855
173800	5236	9180	1.75	0	46	5236	188108	35.93	0	89	4.006902154
173832	5646	85462	15.14	0	99	5646	244508	43.31	0	128	1.163475013
173884	7546	24904	3.3	0	61	7546	257245	34.09	0	84	3.015950715
174030	6781	20704	3.05	0	94	6781	209841	30.95	0	139	2.990198307
174053	6142	14598	2.38	0	57	6142	197520	32.16	0	64	3.403373973
174116	5461	8877	1.63	0	26	5461	186839	34.21	0	62	4.03861428
174198	5707	122083	21.39	0	171	5707	394051	69.05	0	370	1.337844978
174270	11022	23987	2.18	0	35	11022	387356	35.14	0	137	3.657854197
174293	5648	13401	2.37	0	46	5648	193909	34.33	0	106	3.503650939
174304	6598	17907	2.71	0	35	6598	229374	34.76	0	86	3.328203371
174313	5739	72716	12.67	0	134	5739	258293	45.01	0	255	1.475969086
175209	6644	11615	1.75	0	14	6644	264365	39.79	0	116	4.154119117
175720	6116	121894	19.93	0	315	6116	350048	57.23	0	445	1.168969942
176205	5211	35801	6.87	0	87	5211	230140	44.16	0	124	2.331498214
176339	5494	31991	5.82	0	49	5494	223398	40.66	0	106	2.451659202
177345	5867	9673	1.65	0	32	5867	193357	32.96	0	87	3.967318358
178106	6210	31609	5.09	0	73	6210	241418	38.88	0	152	2.580430703
178855	11575	40802	3.53	0	115	11575	413725	35.74	0	143	2.986939591
179753	8929	29867	3.34	0	69	8929	291513	32.65	0	116	2.93630303
179865	5704	12308	2.16	0	40	5704	203547	35.68	0	78	3.693152443
179873	5113	33718	6.59	0	63	5113	345157	67.51	0	199	3.003890894
179880	5033	49003	9.74	0	192	5033	258003	51.26	0	268	2.042979847
179890	5150	44924	8.72	0	67	5150	233595	45.36	0	131	2.026160646
180686	5075	27294	5.38	0	42	5075	183496	36.16	0	105	2.395856645
183765	5624	4497	0.8	0	23	5624	237958	42.31	0	108	5.371994921
186101	5496	16866	3.07	0	41	5496	334454	60.85	0	915	3.956086748
186124	8801	11606	1.32	0	24	8801	317214	36.04	0	64	4.418129222
186165	6959	17723	2.55	0	59	6959	256088	36.8	0	178	3.49827666
186218	7561	31534	4.17	0	74	7561	264300	34.96	0	135	2.714725942
186309	7747	64025	8.26	0	82	7747	324490	41.89	0	133	1.989532243
186398	7463	143688	19.25	0	234	7463	435944	58.41	0	333	1.248496985
186447	5747	76106	13.24	0	149	5747	282108	49.09	0	226	1.53766609
187254	5574	87964	15.78	0	246	5574	283238	50.81	0	356	1.334155304
187323	7613	73499	9.65	0	174	7613	324645	42.64	0	320	1.790746636
188070	8841	85281	9.65	0	78	8841	433111	48.99	0	187	1.99102649
188246	5604	37994	6.78	0	114	5604	204944	36.57	0	180	2.078443494
188782	5335	25673	4.81	0	44	5335	177308	33.23	0	71	2.435517539
190336	7542	44326	5.88	0	129	7542	314828	41.74	0	242	2.474682586
190438	5361	25113	4.68	0	72	5361	195891	36.54	0	130	2.612036245
190874	5060	28376	5.61	0	78	5060	199247	39.38	0	210	2.458530481
191162	5270	15232	2.89	0	27	5270	212472	40.32	0	115	3.449494287
191164	11640	28854	2.48	0	54	11640	397976	34.19	0	169	3.432302443
191442	5039	52869	10.49	0	190	5039	199799	39.65	0	224	1.565446234
193322	6727	44885	6.67	0	102	6727	296648	44.1	0	140	2.372160035
193616	7830	31214	3.99	0	69	7830	253161	32.33	0	105	2.665552901
194251	10393	26758	2.57	0	64	10393	351310	33.8	0	116	3.364323028
194744	6931	10807	1.56	0	20	6931	268987	38.81	0	92	4.283950544
194871	6801	5428	0.8	0	12	6801	231701	34.07	0	70	5.059498183
194886	6303	8341	1.32	0	21	6303	213381	33.85	0	69	4.327686045
195837	8246	20762	2.52	0	41	8246	277133	33.61	0	64	3.384534949
195922	14950	46191	3.09	0	71	14950	589461	39.43	0	92	3.320755013
196247	9093	21983	2.42	0	80	9093	295263	32.47	0	91	3.393168478
196476	5796	3298	0.57	0	10	5796	173664	29.96	0	60	5.36307194
196594	5635	16978	3.01	0	85	5635	213389	37.87	0	129	3.300360075
197774	6901	6170	0.89	0	17	6901	223980	32.46	0	67	4.835853899
197841	6195	13437	2.17	0	50	6195	227900	36.79	0	165	3.730686774
197910	5108	47564	9.31	0	72	5108	204107	39.96	0	89	1.748843556
197942	5181	48544	9.37	0	111	5181	221888	42.83	0	159	1.83964077
197945	11892	62678	5.27	0	144	11892	486066	40.87	0	266	2.602307422
197988	7104	106108	14.94	0	82	7104	275623	38.8	0	151	1.02401655
198136	5079	52268	10.29	0	63	5079	225302	44.36	0	113	1.755156429
198138	7830	12314	1.57	0	41	7830	266181	34	0	105	4.083838328
198575	5505	20006	3.63	0	24	5505	209127	37.99	0	93	3.034718304
